id,institution_type,name,address,postal_code,state,status,source_file,Name of the college,Affiliated To University,College address,District,State,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,unique_id,latitude,longitude,address_quality,geocoding_priority
1.0,Central,Aligarh Muslim University,"Zainul Abidin Road, Aligarh, District nan, Uttar Pradesh",202001,Uttar Pradesh,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_0,,,80,2
2.0,Central,Assam University,"Silchar, Dargakona, Cachar, District nan, Assam",788001,Assam,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_1,,,80,2
3.0,Central,Babasaheb Bhimrao Ambedkar University,"Vidya Vihar, Rae Bareily Road, Lucknow, District nan, Uttar Pradesh",226025,Uttar Pradesh,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_2,,,80,2
4.0,Central,Banaras Hindu University,"AjagaraVaranasi, District nan, Uttar Pradesh",221005,Uttar Pradesh,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_3,,,80,2
5.0,Central,Central Agricultural University,"Lamphelpat, Imphal West, District nan, Manipur",795004,Manipur,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_4,,,80,2
6.0,Central,Central Sanskrit University,"56-57 Institutional Area, Janakpuri, District nan, Delhi",110058,Delhi,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_5,,,80,2
7.0,Central,Central Tribal University of Andhra Pradesh,"Kondakarakam Post Office , Cantonment SPO, Vizianagaram, District nan, Andhra Pradesh",535003,Andhra Pradesh,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_6,,,80,2
8.0,Central,Central University of Andhra Pradesh,"Transit Campus, JNTU IT Incubation Centre, Chinmaya Nagar Anantapur, Andhra Pradesh",515002,Andhra Pradesh,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_7,,,60,3
9.0,Central,Central University of Gujarat,"Near Jalaram Temple, Sector 29, Gandhinagar, District nan, Gujarat",382030,Gujarat,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_8,,,80,2
10.0,Central,Central University of Haryana,"Jant-Pali, Mahendergarh, District nan, Haryana",123029,Haryana,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_9,,,80,2
11.0,Central,Central University of Himachal Pradesh,"Post Office Box No. 21, District t - Kangra, Dharamashala, District nan, Himachal Pradesh",176215,Himachal Pradesh,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_10,,,80,2
12.0,Central,Central University of Jammu,"Rahya-Suchani Bagla, District rict Samba, Jammu, District nan, Jammu And Kashmir",181143,Jammu And Kashmir,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_11,,,80,2
13.0,Central,Central University of Jharkhand,"Village - Cheri Manatu, Post Office - Kamre, P.S- Kanke, Brambe, Ranchi, District nan, Jharkhand",835222,Jharkhand,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_12,,,80,2
14.0,Central,Central University of Karnataka,"Kadaganchi, Aland Road, Aland Taluka uk, Gulbarga, District nan, Karnataka",585311,Karnataka,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_13,,,80,2
15.0,Central,Central University of Kashmir,"Green Campus, Duderhama Ganderbal, Kashmir, District nan, Jammu And Kashmir",191201,Jammu And Kashmir,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_14,,,80,2
16.0,Central,Central University of Kerala,"Tejaswini Hills, Periye Post Office , Kasaragod DT, District nan, Kerala",671316,Kerala,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_15,,,80,2
17.0,Central,Central University of Odisha,"Sunabeda, Post NAD, District Koraput, District nan, Odisha",763004,Odisha,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_16,,,80,2
18.0,Central,Central University of Punjab,"VPO-Ghudda, District t. Bathinda, District nan, Punjab",151401,Punjab,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_17,,,80,2
19.0,Central,Central University of Rajasthan,"NH-8, Bandar Sindri, Kishangarh District -Ajmer, District nan, Rajasthan",305801,Rajasthan,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_18,,,80,2
20.0,Central,Central University of South Bihar,"SH-7, Gaya-Panchanpur Road, Village ageKarhara, Post- Fatehpur, P.S. Tekari, District rict-Gaya, District nan, Bihar",824236,Bihar,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_19,,,80,2
21.0,Central,Central University of Tamil Nadu,"Neelakudi, Tiruvarur, District nan, Tamil Nadu",610005,Tamil Nadu,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_20,,,80,2
22.0,Central,Dr. Harisingh Gour Vishwavidyalaya,"Sagar, Gour Nagar, Patharia Hills, District nan, Madhya Pradesh",470003,Madhya Pradesh,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_21,,,80,2
23.0,Central,Dr. Rajendra Prasad Central Agricultural University,"Pusa, Samastipur, District nan, Bihar",848125,Bihar,,Central Uni.csv,,,,,,,,,,Central_22,,,80,2
24.0,Central,English & Foreign Languages University,"Near Tarnaka, Hyderabad, District nan, Telangana",500007,Telangana,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_23,,,80,2
25.0,Central,Gati Shakti Vishwavidyalaya,"Gati Shakti Vishwavidyalaya, Lalbaug, Vadodara, District nan, Gujarat",390004,Gujarat,,Central Uni.csv,,,,,,,,,,Central_24,,,80,2
26.0,Central,Guru Ghasidas Vishwavidyalaya,"Main Campus, Koni, Bilaspur, District nan, Chhattisgarh",495009,Chhattisgarh,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_25,,,80,2
27.0,Central,Hemvati Nandan Bahuguna Garhwal University,"Madhi Chauras, Srinagar, Garhwal, District nan, Uttarakhand",246174,Uttarakhand,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_26,,,80,2
28.0,Central,Indian Maritime University,"East Coast Road, Semmencherry, Chennai, District nan, Tamil Nadu",600119,Tamil Nadu,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_27,,,80,2
29.0,Central,Indira Gandhi National Open University,"Maidan Garhi, New Delhi, District nan",110068,Delhi,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_28,,,80,2
30.0,Central,Jamia Millia Islamia,"Maulana Mohammad Ali Jauhar Marg, Jamia Nagar, District nan, Delhi",110025,Delhi,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_29,,,80,2
31.0,Central,Jawaharlal Nehru University,"New Mehrauli Road, New Delhi, District nan",110067,Delhi,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_30,,,80,2
32.0,Central,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,"Gandhi Hills, Post- Hindi Vishwavidyalaya, Wardha, District nan, Maharashtra",442001,Maharashtra,2(f) & 12(B),Central Uni.csv,,,,,,,,,,Central_31,,,80,2
