Name of the college,Affiliated To University,College address,District,State,Status,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,source,street,locality,landmark,pin_code,extracted_district,completeness_score,final_district,has_valid_pin,has_valid_district
"Aldel Education Trust’s St. John College of Humanities & Science, St. John Technical and Educational Campus,","University of Mumbai, Mumbai ","Vevoor, Manor Road, Palghar (East), District Palghar-401 404",Palghar,Maharashtra,2(f),2011.0,Bachelor's,Non-Government,Unaided,colleges,Vevoor,Manor Road,,,,0.6000000000000001,Palghar,False,True
Govt Degree College,Sardar Patel University Mandi Himachal Pradesh,"Khundian, Vill: Sihoti,  PO & Tehsil Khundian,  Distt. Kangra-176 031,",Kangra,Himachal Pradesh,2(f),2014.0,Bachelor's,Government,Aided,colleges,Khundian,Vill: Sihoti,,,,0.6000000000000001,Kangra,False,True
Lachi Devi Mahila Mahavidyalaya,"V.B.S. Purvanchal University, Jaunpur","Chakhabibullah Mitthapara, Ghazipur-233227",Ghazipur,Uttar Pradesh,2(f),2016.0,Bachelor's,Non-Government,Unaided,colleges,Chakhabibullah Mitthapara,Ghazipur,,,,0.6000000000000001,Ghazipur,False,True
A M A L College,"Andhra University, Visakhapatnam","Anakapalli, District Visakhapatnam - 531 001",Visakhapatnam,Andhra Pradesh,2(f) and 12(B),1953.0,Master's,Non Government,,colleges,Anakapalli,District Visakhapatnam,,,,0.6000000000000001,Visakhapatnam,False,True
A Veeriya Vendayar Memorial Sri Pushpam College,"Bharathidasan University, Tiruchirapalli","Poondi, District Thanjavur",Thanjavur,Tamil Nadu,2(f) and 12(B),1956.0,Bachelor's,Non Government,,colleges,Poondi,District Thanjavur,,,,0.6000000000000001,Thanjavur,False,True
A. K. Singh College,"Nilamber-Pitamber University, Madininagar, Palamu","Vill. Japla, Dist. Palamau - 822 116, Jharkhand",,Jharkhand,2(f),1984.0,Bachelor's,Non Government,Unaided,colleges,Vill. Japla,Dist. Palamau,,,,0.6000000000000001,,False,True
A. V. Patel Commerce College,"Veer Narmad South Gujarat University, Surat","Bilimora, Dist. Valsad - 396 321",Valsad,Gujarat,2(f) and 12(B),1977.0,Bachelor's,Non Government,,colleges,Bilimora,Dist. Valsad,,,,0.6000000000000001,Valsad,False,True
A.B.M. College,"Ranchi University,  Ranchi","Singhbhum, Dist. Purbi Singhbhum",Purbi Singhbhum,Jharkhand,2(f) and 12(B),1981.0,Bachelor's,Government,,colleges,Singhbhum,Dist. Purbi Singhbhum,,,,0.6000000000000001,Purbi Singhbhum,False,True
A.B.M. Degree College,"Acharya Nagarjuna University, Nagarjuna Nagar","Ongole, District Prakasam",Prakasam,Andhra Pradesh,2(f) and 12(B),1981.0,Bachelor's,Non Government,,colleges,Ongole,District Prakasam,,,,0.6000000000000001,Prakasam,False,True
A.B.N & P.R.R. College,"Adikavi Nannaya University, Rajahmundry","Kovvur – 534 350, W.G. Dist., Andhra Pradesh",,Andhra Pradesh,2(f),1999.0,Master's,Non Government,Unaided,colleges,Kovvur – 534 350,W.G. Dist.,,,,0.6000000000000001,,False,True
