"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"1","Central","Aligarh Muslim University","Zainul Abidin Road,Aligarh","202001","Uttar Pradesh","2(f) & 12(B)"
"2","Central","Assam University","Silchar, Dargakona, Cachar","788001","Assam","2(f) & 12(B)"
"3","Central","Babasaheb Bhimrao Ambedkar University","Vidya Vihar,Rae Bareily Road,Lucknow","226025","Uttar Pradesh","2(f) & 12(B)"
"4","Central","Banaras Hindu University","AjagaraVaranasi","221005","Uttar Pradesh","2(f) & 12(B)"
"5","Central","Central Agricultural University","Lamphelpat,Imphal West,","795004","Manipur","2(f) & 12(B)"
"6","Central","Central Sanskrit University","56-57 Institutional Area,Janakpuri","110058","Delhi","2(f) & 12(B)"
"7","Central","Central Tribal University of Andhra Pradesh","Kondakarakam (PO), Cantonment (SPO), Vizianagaram","535003","Andhra Pradesh","2(f) & 12(B)"
"8","Central","Central University of Andhra Pradesh","Transit Campus, JNTU IT Incubation Centre, Chinmaya Nagar Anantapur","515002","Andhra Pradesh","2(f) & 12(B)"
"9","Central","Central University of Gujarat","Near Jalaram Temple,Sector – 29,Gandhinagar,","382030","Gujarat","2(f) & 12(B)"
"10","Central","Central University of Haryana","Jant-Pali,Mahendergarh","123029","Haryana","2(f) & 12(B)"
"11","Central","Central University of Himachal Pradesh","PO Box No. 21,Distt - Kangra,Dharamashala","176215","Himachal Pradesh","2(f) & 12(B)"
"12","Central","Central University of Jammu","Rahya-Suchani (Bagla),District Samba,Jammu","181143","Jammu and Kashmir","2(f) & 12(B)"
"13","Central","Central University of Jharkhand","Vill- Cheri Manatu, P.O- Kamre,P.S- Kanke, Brambe, Ranchi","835222","Jharkhand","2(f) & 12(B)"
"14","Central","Central University of Karnataka","Kadaganchi, Aland Road,Aland Taluk,Gulbarga","585311","Karnataka","2(f) & 12(B)"
"15","Central","Central University of Kashmir","Green Campus,Duderhama Ganderbal,Kashmir","191201","Jammu and Kashmir","2(f) & 12(B)"
"16","Central","Central University of Kerala","Tejaswini Hills,Periye (PO),Kasaragod (DT)","671316","Kerala","2(f) & 12(B)"
"17","Central","Central University of Odisha","Sunabeda, Post: NAD, Dist. Koraput","763004","Odisha","2(f) & 12(B)"
"18","Central","Central University of Punjab","VPO-Ghudda,Distt. Bathinda","151401","Punjab","2(f) & 12(B)"
"19","Central","Central University of Rajasthan","NH-8, Bandar Sindri, Kishangarh Dist-Ajmer","305801","Rajasthan","2(f) & 12(B)"
"20","Central","Central University of South Bihar","SH-7, Gaya-Panchanpur Road,Village–Karhara, Post- Fatehpur, P.S. –Tekari,District-Gaya","824236","Bihar","2(f) & 12(B)"
"21","Central","Central University of Tamil Nadu","Neelakudi,Tiruvarur","610005","Tamil Nadu","2(f) & 12(B)"
"22","Central","Dr. Harisingh Gour Vishwavidyalaya","Sagar,Gour Nagar,Patharia Hills","470003","Madhya Pradesh","2(f) & 12(B)"
"23","Central","Dr. Rajendra Prasad Central Agricultural University","Pusa, Samastipur","848125","Bihar","null"
"24","Central","English & Foreign Languages University","Near Tarnaka,Hyderabad","500007","Telangana","2(f) & 12(B)"
"25","Central","Gati Shakti Vishwavidyalaya","Gati Shakti Vishwavidyalaya,Lalbaug,Vadodara","390004","Gujarat","null"
"26","Central","Guru Ghasidas Vishwavidyalaya","Main Campus,Koni,Bilaspur","495009","Chhattisgarh","2(f) & 12(B)"
"27","Central","Hemvati Nandan Bahuguna Garhwal University","Madhi Chauras,Srinagar,Garhwal","246174","Uttarakhand","2(f) & 12(B)"
"28","Central","Indian Maritime University","East Coast Road,Semmencherry,Chennai","600119","Tamil Nadu","2(f) & 12(B)"
"29","Central","Indira Gandhi National Open University","Maidan Garhi,New Delhi","110068","Delhi","2(f) & 12(B)"
"30","Central","Jamia Millia Islamia","Maulana Mohammad Ali Jauhar Marg,Jamia Nagar","110025","Delhi","2(f) & 12(B)"
"31","Central","Jawaharlal Nehru University","New Mehrauli Road,New Delhi","110067","Delhi","2(f) & 12(B)"
"32","Central","Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya","Gandhi Hills, Post- Hindi Vishwavidyalaya,Wardha","442001","Maharashtra","2(f) & 12(B)"
"33","Central","Mahatma Gandhi Central University","Camp Office : Opposite Circuit House,Motihari,Distt: East Champaran","845401","Bihar","2(f) & 12(B)"
"34","Central","Manipur University","Canchipur, Imphal, Manipur","795003","Manipur","2(f) & 12(B)"
"35","Central","Maulana Azad National Urdu University","Gachibowli,Hyderabad","500032","Telangana","2(f) & 12(B)"
"36","Central","Mizoram University","Post Box No. 190,Aizwal","796009","Mizoram","2(f) & 12(B)"
"37","Central","Nagaland University","HQ Campus: Lumami, Zunheboto,Kohima Campus: Meriema","798627","Nagaland","2(f) & 12(B)"
"38","Central","Nalanda University","chabila road,Rajgir,Nalanda","803116","Bihar","2(f) & 12(B)"
"39","Central","National Sanskrit University( previously Rashtriya Sanskrit Vidyapeeth)","Near Balaji Colony, Tirupati","517507","Andhra Pradesh","2(f) & 12(B)"
"40","Central","National Sports University","2nd floor, Olympic Bhawan,Khuman Lampak Sports Complex,Imphal","795001","Manipur","2(f) & 12(B)"
"41","Central","North Eastern Hill University","NEHU Campus,Shillong,Mawlai","793022","Meghalaya","2(f) & 12(B)"
"42","Central","Pondicherry University","R Venkat Raman Nagar, Kalapet,Puducherry","605014","Puducherry","2(f) & 12(B)"
"43","Central","Rajiv Gandhi National Aviation University","Near Fursatganj Airfield,Fursatganj,Dstt. Raebareli","229302","Uttar Pradesh","2(f) & 12(B)"
"44","Central","Rajiv Gandhi University","Rono Hills, P.O. Doimukh, Itanagar","791112","Arunachal Pradesh","2(f) & 12(B)"
"45","Central","Rani Lakshmi Bai Central Agricultural University","NH-75, Near Pahuj,Dam, Gwalier Road,Jhansi","284003","Uttar Pradesh","null"
"46","Central","Sammakka Sarakka Central Tribal University","Jakaram Village, Mulugu District, Hyderabad","500046","Telangana","2(f)"
"47","Central","Shri Lal Bahadur Shastri National Sanskrit University","Katwaria Sarai,New Mehrauli Road,New Delhi","110016","Delhi","2(f) & 12(B)"
"48","Central","Sikkim University","6th Mile, SamdurP.O. Tadong,Gangtok","737102","Sikkim","2(f) & 12(B)"
"49","Central","Sindhu Central University","Melongthang Leh-Ladakh,Near FRL","194101","Ladakh","2(f) & 12(B)"
"50","Central","South Asian University","Rajpur Road, Maidan Garhi, New Delhi","110068","Delhi","2(f) & 12(B)"
"51","Central","Tezpur University","P.O. -Napaam, Tezpur, Dist. Sonitpur","784028","Assam","2(f) & 12(B)"
"52","Central","The Indira Gandhi National Tribal University","Makal Sadan,Amarkantak, Village-Lalpur,Dist-Anuppur","484887","Madhya Pradesh","2(f) & 12(B)"
"53","Central","Tripura University","NH8, University RdSuryamani Nagar,Agartala","799130","Tripura","2(f) & 12(B)"
"54","Central","University of Allahabad","Senate House,University Road,Old Katra, Prayagraj","211002","Uttar Pradesh","2(f) & 12(B)"
"55","Central","University of Delhi","North Delhi Campus,Near Mall Road","110007","Delhi","2(f) & 12(B)"
"56","Central","University of Hyderabad","P.O. Central University Campus, PROFESSOR C.R. RAO RAOD, GACHIBOWLI,Hyderabad","500046","Telangana","2(f) & 12(B)"
"57","Central","Visva Bharati","PO : Santiniketan,Birbhum","731235","West Bengal","2(f) & 12(B)"
