"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Aldel Education Trust’s St. John College of Humanities & Science, St. John Technical and Educational Campus,","University of Mumbai, Mumbai ","Vevoor, Manor Road, Palghar (East), District Palghar-401 404","Palghar","Maharashtra","2(f)","2011","Bachelor's","Non-Government","Unaided"
"Govt Degree College","Sardar Patel University Mandi Himachal Pradesh","Khundian, Vill: Sihoti,  PO & Tehsil Khundian,  Distt. Kangra-176 031,","Kangra","Himachal Pradesh","2(f)","2014","Bachelor's","Government","Aided"
"Lachi Devi Mahila Mahavidyalaya","V.B.S. Purvanchal University, Jaunpur","Chakhabibullah Mitthapara, Ghazipur-233227","Ghazipur","Uttar Pradesh","2(f)","2016","Bachelor's","Non-Government","Unaided"
"A M A L College","Andhra University, Visakhapatnam","Anakapalli, District Visakhapatnam - 531 001","Visakhapatnam","Andhra Pradesh","2(f) and 12(B)","1953","Master's","Non Government",""
"A Veeriya Vendayar Memorial Sri Pushpam College","Bharathidasan University, Tiruchirapalli","Poondi, District Thanjavur","Thanjavur","Tamil Nadu","2(f) and 12(B)","1956","Bachelor's","Non Government",""
"A. K. Singh College","Nilamber-Pitamber University, Madininagar, Palamu","Vill. Japla, Dist. Palamau - 822 116, Jharkhand","","Jharkhand","2(f)","1984","Bachelor's","Non Government","Unaided"
"A. V. Patel Commerce College","Veer Narmad South Gujarat University, Surat","Bilimora, Dist. Valsad - 396 321","Valsad","Gujarat","2(f) and 12(B)","1977","Bachelor's","Non Government",""
"A.B.M. College","Ranchi University,  Ranchi","Singhbhum, Dist. Purbi Singhbhum","Purbi Singhbhum","Jharkhand","2(f) and 12(B)","1981","Bachelor's","Government",""
"A.B.M. Degree College","Acharya Nagarjuna University, Nagarjuna Nagar","Ongole, District Prakasam","Prakasam","Andhra Pradesh","2(f) and 12(B)","1981","Bachelor's","Non Government",""
"A.B.N & P.R.R. College","Adikavi Nannaya University, Rajahmundry","Kovvur – 534 350, W.G. Dist., Andhra Pradesh","","Andhra Pradesh","2(f)","1999","Master's","Non Government","Unaided"
"A.B.R. College of Engineering & Technology","Jawaharlal Nehru Technological University, Kakinada","Chinairlapadu (V),  Kangiri(M),  Dt. Prakasam-523 254","","Andhra Pradesh","2(f)","2008","Master's","Non Government","Unaided"
"A.B.R.L. Degree College","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Githini, Chandhar, Sant Kabir Nagar","Sant Kabir Nagar","Uttar Pradesh","2(f) and 12(B)","2006","Bachelor's","Non Government",""
"A.C.T. College of Engineering and Technology","Anna University, Chennai","Bukkathurai-Uthiramerur High Road, Nelvoy Village, Manduranthagam Taluk, Dist. Kancheepuram – 603 107","Kancheepuram","Tamil Nadu","2(f)","2008","Bachelor's","Non Government","Unaided"
"A.D. Biligowda First Grade College","Mysore University, Mysore","Koppa, Dist. Mandya","Mandya","Karnataka","2(f) and 12(B)","1992","Bachelor's","Non Government",""
