"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"1","Deemed to be Universities","Academy of Maritime Education and Training","135, East Coast Road, Kanathur","603112","Tamil Nadu","Section-III"
"2","Deemed to be Universities","Amrita Vishwa Vidyapeetham","Amritanagar, P.O., Ettimadai, Coimbatore","641112","Tamil Nadu","Section-III"
"3","Deemed to be Universities","Aurora Higher Education and Research Academy","Uppal, Hyderabad","500001","Telangana","null"
"4","Deemed to be Universities","Avinashilingam Institute for Home Science & Higher Education for Women","Bharathi Park Rd, Saibaba Colony, Coimbatore","641043","Tamil Nadu","Section-III & 12(B)"
"5","Deemed to be Universities","B.L.D.E.","Bangaramma Sajjan Campus, B M patil road,  Vijayapura","586103","Karnataka","Section-III"
"6","Deemed to be Universities","B.S. Abdur Rahman Institute of Science and Technology","G.S.T.Road, Vandalur, Chennai","600048","Tamil Nadu","Section-III"
"7","Deemed to be Universities","Banasthai Vidyapith","Vanasthali Rd, Aliyabad","304022","Rajasthan","Section-III & 12(B)"
"8","Deemed to be Universities","Bharath Institute of Higher Education & Research","No. 173, Agharam Road, Selaiyur, Chennai","600073","Tamil Nadu","Section-III"
"9","Deemed to be Universities","Bharati Vidyapeeth","LBS Road Next to Alka Talkies, Sadashiv Peth, Pune","411030","Maharashtra","Section-III & 12(B)"
"10","Deemed to be Universities","Birla Institute of Technology","BIT Mesra, Ranchi","835215","Jharkhand","Section-III"
"11","Deemed to be Universities","Birla Institute of Technology & Science","Vidya Vihar, Pilani","333031","Rajasthan","Section-III"
"12","Deemed to be Universities","Central Institute of Buddhist Studies(CIBS)","Choglamsar, Leh","194104","Ladakh","Section-III"
"13","Deemed to be Universities","Central Institute of Fisheries Education","Panch Marg, Off Yari Road, Versova, Andheri (West), Mumbai","400061","Maharashtra","Section-III"
"14","Deemed to be Universities","Central Institute of Higher Tibetan Studies","Sarnath, Varanasi","221007","Uttar Pradesh","Section-III"
"15","Deemed to be Universities","Central Institute of Technology(CIT)","Balagaon,  Kokrajhar, (BTAD)","783370","Assam","null"
"16","Deemed to be Universities","Chaitanya","Kishanpura, Hanamkonda, Distt-Warangal","506001","Telangana","null"
"17","Deemed to be Universities","Chennai Mathematical Institute","H1, SIPCOT IT Park, Siruseri, Kelambakkam","603103","Tamil Nadu","Section-III"
"18","Deemed to be Universities","Chettinad Academy of Research and Education  (CARE)","Rajiv Gandhi Salai, Kelambakkam,  Chengalpattu District, Chennai","603103","Tamil Nadu","Section-III & 12(B)"
"19","Deemed to be Universities","Chinmaya Vishwavidyapeeth","Adi Sankara Nilayam, Ernakulum","682313","Kerala","null"
"20","Deemed to be Universities","Christ","Hosur Road, DRC Post, Bangalore","560029","Karnataka","Section-III"
"21","Deemed to be Universities","D. Y. Patil","Sector - 07, Nerul, Navi Mumbai","400706","Maharashtra","Section-III"
"22","Deemed to be Universities","D.Y Patil Educational Society","869 E ward Line Bazar,  Kasaba Bavada, Kolhapur","416006","Maharashtra","Section-III"
"23","Deemed to be Universities","Datta Meghe Institute of Higher Education and Research","Sawangi (Meghe), Wardha","442107","Maharashtra","Section-III & 12(B)"
"24","Deemed to be Universities","Dayalbagh Educational Institute","Dayalbagh, Agra","282005","Uttar Pradesh","Section-III & 12(B)"
"25","Deemed to be Universities","Deccan College Postgraduate & Research Institute","Deccan College Road, Yerawada, Pune","411006","Maharashtra","Section-III"
"26","Deemed to be Universities","Defence Institute of Advanced Technology","Girinagar, Pune","411025","Maharashtra","Section-III"
"27","Deemed to be Universities","Dr. D.Y. Patil Vidyapeeth","Sant Tukaram Nagar, Pimpri, Pune","411018","Maharashtra","Section-III & 12(B)"
"28","Deemed to be Universities","Dr. M.G.R. Educational and Research Institute","E.V.R Periyar Salai (NH4 Highway), Maduravoyal, Chennai","600095","Tamil Nadu","Section-III"
"29","Deemed to be Universities","Forest Research Institute","Chakarata Rd, P.O, Indian Military Academy, Dehradun","248006","Uttarakhand","Section-III"
"30","Deemed to be Universities","Gandhi Institute of Technology and Management (GITAM)","Gandhi Nagar, Rushikonda, Visakhapatnam","530045","Andhra Pradesh","2(f) & 12(B)"
"31","Deemed to be Universities","Gokhale Institute of Politics & Economics","846 Shivajinagar, BMCC Road, Pune","411004","Maharashtra","Section-III & 12(B)"
"32","Deemed to be Universities","Graphic Era","Bell Road, Clement Town, Dehradun","248002","Uttarakhand","Section-III"
"33","Deemed to be Universities","Gujarat Vidyapith","Ashram Road, Ahmedabad","380014","Gujarat","Section-III"
"34","Deemed to be Universities","Gurukul Kangri Vidyapeeth","Jagjeetpur, Haridwar","249404","Uttarakhand","Section-III & 12(B)"
"35","Deemed to be Universities","Hindustan Institute of Technology  and Science (HITS)","Rajiv Gandhi Salai, Padur, Kelambakkam, Chennai","603103","Tamil Nadu","Section-III"
"36","Deemed to be Universities","Homi Bhabha National Institute, Regd. Office","Training School Complex, Anushaktinagar","400094","Maharashtra","Section-III & 12(B)"
"37","Deemed to be Universities","ICFAI Foundation for Higher Education","Donthanpalli, Sankarpalli Road, Hyderabad","501203","Telangana","Section-III & 12(B)"
"38","Deemed to be Universities","IIS","Gurukul Marg, SFS, Mansarovar, Jaipur","302020","Rajasthan","Section-III & 12(B)"
"39","Deemed to be Universities","Indain Institute of Foreigen Trade","IIFT Bhawan, B-21, Qutub Institutional Area","110016","Delhi","Section-III & 12(B)"
"40","Deemed to be Universities","Indian Agricultural Research Institute","PUSA IARI,  New Delhi","110012","Delhi","Section-III & 12(B)"
"41","Deemed to be Universities","Indian Association for the Cultivation of Science (IACS)","Raja S.C. Mullick Road, Jadavpur, Kolkata","700032","West Bengal","null"
"42","Deemed to be Universities","Indian Institute of Forest Management (IIFM)","PO Box 357, Nehru Nagar, Bhopal,","462003","Madhya Pradesh","Section-III"
