"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"1","Private","A.K.S. University","SherGanj, Satna","485001","Madhya Pradesh","2(f)"
"2","Private","A.P.G. (Alakh Prakash Goyal) Shimla University","Shogi- Mehli Bypass Road, Shimla, H.P 171013","171009","Himachal Pradesh","2(f)"
"3","Private","AAFT University of Media and Arts","Vill-Maath, Tehsil-Tilda, Dist-Raipur","493225","Chhattisgarh","2(f)"
"4","Private","Abhilashi University","Chailchowk (Chaichiot)Tehsil chachyot, distt. Mandi","175045","Himachal Pradesh","2(f)"
"5","Private","Abhyuday University","Garam Magriya, Khandwa Road, Khargone","451001","Madhya Pradesh","2(f)"
"6","Private","Adamas University","Barasat - Barrackpore Rd, 24 Parganas North, Jagannathpur, Kolkata, West Bengal Barberia, PO JagannathpurPS Barasat, Kolkata","700126","West Bengal","2(f)"
"7","Private","Adani University","Shantigram Township, Near Vaishnodevi Circle, Ahmedabad","382421","Gujarat","2(f)"
"8","Private","Adesh University","NH-7, Barnala Road, Bhucho, BathindaBathinda","151101","Punjab","2(f)"
"9","Private","Adichunchanagiri University","B G Nagara NH-75, Tq- Nagamangala,Dist- Mandya","571448","Karnataka","2(f)"
"10","Private","Agrawan Heritage University","Bamrauli Katara, Fatehabad Road, Agra","283125","Uttar Pradesh","2(f)"
"11","Private","Ahmedabad University","Ahmedabad University, Commerce Six Roads, Navrangpura, Ahmedabad, GujaratAhmedabad","380009","Gujarat","2(f) & 12(B)"
"12","Private","AIPH University","APEX Building, Pahal, Bhubaneswar-Cuttack NH16On Bhubneshwar-Cuttack Road, NH-5Bhubneshwar","752101","Odisha","2(f)"
"13","Private","AISECT University","Matwari Chowk, HazaribagMatwari, Distt.- HazaribagHazaribagh","825301","Jharkhand","2(f)"
"14","Private","Ajeenkya D.Y. Patil University","Charholi BudrukVia Lohegaon, Pune","412105","Maharashtra","2(f)"
"15","Private","Akal University","Talwandi SaboDist. Bhathinda","151302","Punjab","2(f)"
"16","Private","Al-Falah University","Faridabad","121004","Haryana","2(f)"
"17","Private","Al-Karim University","Sirsa, Karim Bagh, Katihar","854106","Bihar","2(f)"
"18","Private","Alard University","Alard Knowledge Park, Survey No. 47 and 50, Marunji, Near Rajiv Gandhi Park, IT Park, Hinjewadi, Pune","411057","Maharashtra","2(f)"
"19","Private","Alliance University","Chikkahagada Cross, Chandapura-Anekal Main Road, Bangalore","562106","Karnataka","2(f)"
"20","Private","Amaltas University","Dewas, Dewas-Ujjain State Highway, Bangar, District-Dewas","455001","Madhya Pradesh","2(f)"
"21","Private","Amity University","SP-1, Kant Kalwar, RIICO Industrial Area, NH-11C, Jaipur, RajasthanAjmer Road, Jaipur","303002","Rajasthan","2(f)"
"22","Private","AMITY University","Plot No. 4, Gautam Buddha Nagar, Sector-125, Noida, Uttar Pradesh PIN 201313Gautam Budh Nagar","201313","Uttar Pradesh","2(f)"
"23","Private","AMITY University","Panchgaon, Manesar, Gurgaon (Haryana)Panchgaon, ManesarDistt.Gurgaon","122413","Haryana","2(f)"
"24","Private","Amity University","Mumbai-Pune Expressway,Bhatan,Post - Somathne,Panvel,Mumbai","410206","Maharashtra","2(f)"
"25","Private","Amity University","Vill.: Manth (Kharora) ; Tehsil: Tilda ; Dist.: Raipur ; ChhattisgarhTehsil- Tilda, Dist.- Raipur","493225","Chhattisgarh","2(f)"
"26","Private","Amity University","Maharajpura, Gwalior Gwalior","474005","Madhya Pradesh","2(f)"
"27","Private","Amity University","Rajarhat,  New Town,  Dist. North 24 Parganas","700135","West Bengal","2(f)"
"28","Private","Amity University","NH 648 (Old 207), Beerasandra, Alurududdhanahalli Post, Devanahalli Taluk, Bengaluru Rural District,","562110","Karnataka","2(f)"
"29","Private","Amity University","Ranchi City Campus,Niwaranpur Adjoining Over Bridge, Main Road, Ranchi","834002","Jharkhand","2(f)"
"30","Private","Amity University","Sector-82 Alpha, IT City, S. A. A Nagar, Mohali","140306","Punjab","2(f)"
"31","Private","Amity University","Rupaspur, Bailey Road, Patna","801503","Bihar","2(f)"
"32","Private","Amrapali University","Shiksha Nagar, Village-Lamachaur, Kaladhungi Road,  Haldwani, Nanital","263139","Uttarakhand","2(f)"
"33","Private","Anant National University","Sanskardham CampusBhopal-Ghuma-Sanand RoadAhmedabad","380015","Gujarat","2(f)"
"34","Private","Anjaneya University","Knowledge Village, Naradha, Raipur","493111","Chhattisgarh","2(f)"
"35","Private","Anurag University","Venkatapur(V)Ghatkesar(M)Medchal-Malkajigiri (Dist.), Hyderabad","500088","Telangana","2(f)"
"36","Private","Apeejay Stya University","Sohna - Palwal Road, Sohna, Gurugram - 122103Gurgaon","122103","Haryana","2(f) & 12(B)"
"37","Private","Apex Professional University","NH 52, 2nd Mile, Gumin Nagar","791102","Arunachal Pradesh","2(f)"
"38","Private","Apex university","Jaipur, Rajasthan","303002","Rajasthan","2(f)"
"39","Private","Arka Jain University","Mohanpur, Gamharia , Dist- Seraikela KharsawanMohanpur,Gamharia, Dist. Seraikela Kharsawan","832108","Jharkhand","2(f)"
"40","Private","Arni University","Karthgarh, Tehsil, Indore,  Distt. Kangra","176401","Himachal Pradesh","2(f)"
"41","Private","Arunachal University of Studies","NH-52, Knowledge City, Distt., Namsai","792103","Arunachal Pradesh","2(f)"
"42","Private","Arunodaya University","Lekhi Village, Naharlagun, Itanagar, Distt. Papum Pare","791109","Arunachal Pradesh","2(f)"
"43","Private","Aryavart University","National Highway-46,  Jharkheda, Tehsil-Shyampur, Sehore","466001","Madhya Pradesh","2(f)"
"44","Private","ASBM University","Shiksha Vihar,PO-Bhola, Chandaka,Dist-Khurdha, Bhubaneswar","754012","Odisha","2(f)"
"45","Private","Ashoka University","Plot No. 2, Rajiv Gandhi Education City,Kundli, NCR Sonepat","131028","Haryana","2(f) & 12(B)"
"46","Private","Asian International University","Ghari, Awang Leikai,Dist- Imphal West","795140","Manipur","2(f)"
"47","Private","Assam Don Bosco University","Azara, Guwahati","781017","Assam","2(f) & 12(B)"
"48","Private","Assam Down Town University","Sankar Madhab Path, Gandhinagar, Panikhaiti, Guwahati","781026","Assam","2(f) & 12(B)"
"49","Private","ATLAS SKILLTECH UNIVERSITY","TOwer 1, Equinox Business Park, O?Bandra-Kurla Complex (BKC),LBS Marg, Kurla West, Mumbai","400070","Maharashtra","2(f)"
"50","Private","Atmiya University","Yogidham Gurukul, Kalawad Road, RajkotKalawad Road Rajkot","360005","Gujarat","2(f)"
"51","Private","Atria University","ASKB Campus1st Main Road, AGS Colony, Anandhnagar, Hebbal, Bangaluru","560024","Karnataka","2(f)"
"52","Private","Auniati University","Kaliapani, Teok, Dist. Jorhat","785112","Assam","2(f)"
"53","Private","AURO University, Surat","Earthspace, Hazira RoadOpposite ONGC, Surat, Gujarat.","394510","Gujarat","2(f)"
"54","Private","Avantika University","Avantika University, Vishwanathpuram, Lekoda Village, Ujjian, MP, IndiaLekoda VillageUjjain","456006","Madhya Pradesh","2(f)"
"55","Private","Azim Premji University","Bypass Road, Kanhasaiya, Tehsil-Huzur, Bhopal","462010","Madhya Pradesh","2(f)"
"56","Private","Azim Premji University","Survey No 66,Burugunte Village,Bikkanahalli Main Rd,Sarjapura, Bengaluru","562125","Karnataka","2(f)"
"57","Private","Baba Mast Nath University","ASTHAL BOHAR, ROHTAK Rohtak, Haryana.","124001","Haryana","2(f)"
"58","Private","Babu Banarasi Das University","55, Babu Banarasi Das Nagar, Lucknow","201206","Uttar Pradesh","2(f)"
