"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"1","State","""Kaushalya"" the Skill University","Mahatma Gandhi Labour Institute (MGLI), Drive-in Road, Memnagar, Ahmedabad","380052","Gujarat","2(f)"
"2","State","A.P.J. Abdul Kalam Technological University","CET Campus, Alathara RdAmbady Nagar,Thiruvananthapuram","695016","Kerala","2(f)"
"3","State","Acharaya N.G.Ranga Agricultural University","Amaravathi Road,Lam, Guntur","522034","Andhra Pradesh","2(f)"
"4","State","Acharya Nagarjuna University","NH16,Nagarjuna Nagar,Guntur","522510","Andhra Pradesh","2(f) & 12(B)"
"5","State","Acharya Narendra Deva Krishi Evam Prodyogik Vishwavidyalaya","Kumarganj, FaizabadAyodhya","224229","Uttar Pradesh","2(f) & 12(B)"
"6","State","Adikavi Nannaya University","Raja Raja Nagar, Rajamahendravaram,","533296","Andhra Pradesh","2(f) & 12(B)"
"7","State","Agriculture University","Mandore, Jodhpur","342304","Rajasthan","2(f)"
"8","State","Alagappa University","Vallal Alagappar Valagam, KaraikudiKaraikudiSivaganga District","630003","Tamil Nadu","2(f) & 12(B)"
"9","State","Aliah University","IIA/27, New Town, KolkataNew Town, Kolkata","700160","West Bengal","2(f) & 12(B)"
"10","State","Alipurduar University","P. O. - Alipurduar Court,Dist. - Alipurduar","736122","West Bengal","2(f)"
"11","State","Anand Agricultural University","University Bhavan, Anand","388001","Gujarat","2(f)"
"12","State","Andhra Kesari University","Pernamitta, Ongole, Prakasam District","523225","Andhra Pradesh","2(f)"
"13","State","Andhra Pradesh Fisheries University","Vihsal Residency, Padmaja Nagar, Tadigadapa, Vijawada","521134","Andhra Pradesh","2(f)"
"14","State","Andhra University","Waltair Junction,Visakhapatnam,","530003","Andhra Pradesh","2(f) & 12(B)"
"15","State","Anna University","Sardar Patel Road, Guindy, ChennaiGuindyChennai","600025","Tamil Nadu","2(f) & 12(B)"
"16","State","Annamalai University","Annamalainagar,Cuddalore","608002","Tamil Nadu","2(f) & 12(B)"
"17","State","Arunachal Pradesh University","Pasighat","791102","Arunachal Pradesh","2(f)"
"18","State","Aryabhatta Knowledge University","Chanakya National Law University Campus, Mithapur, Patna","800001","Bihar","2(f)"
"19","State","Assam Agricultural University","Nowchaliah Gaon,Jorhat","785013","Assam","2(f) & 12(B)"
"20","State","Assam Rajiv Gandhi University of Co-operative Management","Basic tiniali, gadaghar nagar,Joysagar, Dicial Dhulia Gaon,Sivasagar, Guwahati","785665","Assam","2(f)"
"21","State","Assam Science & Technology University","Tetelia Road, jalukbari, Guwahati","781013","Assam","2(f)"
"22","State","Assam Skill University","Mangaldoi, Dist. Darrang","784125","Assam","2(f)"
"23","State","Assam Women's University","Jamuguri, Rowriah, Jorhat","785004","Assam","2(f)"
"24","State","Atal Bihari Bajpayee Vishwavidyalaya (Formerly Bilaspur Vishwavidyalaya)","In front of Koni Police StationBilaspur- Ratanpur Road, Koni, Bilaspur(CG)","495009","Chhattisgarh","2(f) & 12(B)"
